XYZ (13541 points)
5905.615 4695.956 70.000
5850.124 4702.840 70.000
4655.553 4392.104 94.540
4764.859 4145.917 90.000
4870.592 4042.862 97.224
4887.821 3944.490 100.000
4981.555 3899.309 99.140
4877.483 4003.513 100.000
6246.818 4956.651 68.634
6106.056 4982.186 69.975
5512.931 3867.193 100.000
5733.534 4738.408 56.710
5627.282 5065.986 60.000
5378.783 5141.412 60.000
4972.246 5184.308 68.941
4882.555 5190.703 63.316
4823.432 5241.570 68.569
4767.755 5269.869 70.000
4662.054 5252.610 69.084
4546.112 5409.456 70.005
4394.317 5334.539 70.002
4610.092 4689.974 90.136
4777.179 4573.703 90.000
4841.352 4550.597 90.000
5008.364 4501.920 90.000
4964.921 5057.513 69.966
4557.205 5324.156 69.697
7019.866 3942.659 68.347
7059.916 4049.782 60.027
6709.996 4333.052 68.284
7128.961 3645.925 60.244
6896.641 3740.837 70.000
6818.441 3106.600 55.013
6471.388 3752.899 70.001
6839.676 3142.947 61.676
6944.589 2510.477 50.012
7855.845 2658.055 54.446
8194.696 2795.195 60.002
7125.797 2783.205 69.835
7186.731 2874.915 68.571
8454.840 4090.860 40.925
8375.326 4084.264 49.986
8000.168 3916.312 50.945
7501.758 3683.321 50.031
7413.013 3419.385 60.000
8361.992 2060.703 41.569
8123.391 1693.144 30.036
8551.108 1534.690 29.997
9816.931 1737.562 29.988
8557.713 2755.594 41.173
9992.647 3872.863 30.100
9316.115 4510.823 30.954
9099.471 4525.319 40.004
8638.969 4196.867 40.296
8626.205 4004.706 38.443
11277.590 4018.234 26.358
10635.900 4060.838 30.001
3836.482 5178.367 99.995
3709.159 5211.577 99.990
3619.650 5246.160 99.993
3225.610 5441.086 100.000
3292.615 5550.144 100.000
3280.450 5611.837 100.000
3185.329 5633.422 100.000
3057.178 5629.494 99.414
2669.008 5844.636 100.000
2516.101 5875.509 100.000
2387.194 5256.604 100.000
2796.637 5002.527 100.000
2801.257 4770.102 100.000
3154.125 4775.536 100.000
3282.957 4622.208 100.000
3379.896 4448.091 100.000
3480.781 4372.831 100.000
3535.408 4285.977 100.000
3612.800 4308.736 100.000
3780.559 4166.782 100.000
4073.156 3874.004 100.000
4278.832 3800.705 100.000
4225.421 3626.753 100.000
4377.739 4539.466 99.994
4234.829 4675.884 99.997
2398.778 5978.569 100.000
2188.861 5901.689 100.000
2080.138 5765.845 100.000
1450.320 5895.313 100.000
1230.980 5856.759 100.000
679.614 5905.046 100.000
802.235 5687.010 100.000
803.787 5498.541 100.000
691.458 5400.591 100.000
536.472 5232.494 100.000
740.701 5091.528 100.000
812.370 5287.225 100.000
2006.505 5200.118 100.000
3247.945 5477.438 100.000
1460.708 5832.678 98.771
892.833 5600.510 100.000
4548.411 3414.444 90.000
4234.733 3397.071 100.000
4064.295 3051.607 100.000
3745.407 2633.770 100.000
3834.069 2582.405 100.000
3898.703 2642.832 99.990
4124.957 2725.360 89.998
4605.827 2817.306 89.990
4711.457 2851.909 90.008
4722.675 2910.502 90.008
4701.387 2985.083 90.011
4642.395 3200.728 90.034
4479.556 3309.081 90.000
4500.539 4450.109 99.989
4514.256 4433.988 99.990
4599.706 3625.604 90.015
4631.936 3768.062 90.273
4574.126 3596.147 90.000
16821.449 694.727 0.000
17763.070 3594.492 -20.000
11075.540 321.704 0.000
11562.380 -1569.933 0.000
14454.320 -2343.540 0.000
15904.840 -1320.645 0.000
16703.051 -1020.437 0.000
16916.449 -83.538 0.000
16259.091 160.979 0.000
15512.870 6048.438 -20.000
12480.170 6837.790 25.619
11339.365 264.057 20.000
14299.790 6364.179 42.843
6385.623 4621.166 69.999
6397.253 4593.056 70.000
6199.897 4965.163 60.248
6037.184 4577.898 70.000
6048.006 4641.424 70.000
6053.763 4675.222 70.000
6059.868 4711.059 69.994
6066.401 4749.408 68.917
6073.425 4790.635 69.210
6080.966 4834.904 69.997
6097.418 4931.478 69.994
5463.392 3942.198 98.595
6408.697 4565.398 67.793
5647.323 4024.717 92.581
5359.078 3973.845 100.000
5330.971 3968.296 99.757
5304.261 3963.023 97.075
5279.238 3958.082 95.208
5255.902 3953.475 93.992
5234.046 3949.160 92.753
5213.351 3945.074 93.255
5193.441 3941.143 93.499
5438.257 3954.650 99.578
5413.122 3967.101 99.985
5496.418 3892.195 100.000
5479.905 3917.197 100.000
5559.921 3970.450 99.997
5548.174 3944.636 99.998
5536.426 3918.822 100.000
5524.679 3893.007 99.722
5622.105 4015.233 99.997
5596.887 4005.748 99.978
5756.870 4006.150 82.940
5729.483 4010.792 89.260
5702.097 4015.433 90.295
5674.710 4020.075 90.719
5877.870 4699.398 70.000
5605.235 4863.910 60.000
5792.764 4716.991 65.281
5683.219 4736.905 50.521
5708.377 4737.657 50.626
5615.800 4838.359 60.000
5626.366 4812.808 60.007
5636.931 4787.256 60.005
5647.497 4761.705 59.993
5081.203 4447.298 90.000
5080.739 4461.670 90.000
5965.829 4013.171 73.320
5515.953 5107.183 59.999
5935.567 4011.227 82.748
5286.144 5105.462 60.000
5062.318 5117.835 62.372
5905.305 4009.283 90.000
4943.141 5165.351 70.000
4958.431 5090.974 70.000
4906.730 4988.079 70.000
4883.403 5124.102 65.027
5875.043 4007.340 90.000
5844.781 4005.396 89.821
5814.519 4003.452 74.390
6138.633 4044.295 70.000
6110.125 4038.459 70.000
4453.033 5343.033 68.883
6081.616 4032.623 70.000
4483.126 5198.278 70.042
4567.904 5054.973 70.005
4606.800 4953.514 70.000
4602.273 4804.056 70.000
6053.108 4026.787 70.000
4658.680 4691.568 90.049
4712.260 4657.288 90.064
6024.600 4020.951 70.000
4622.854 4133.023 90.047
4945.417 4560.417 90.000
4638.520 4135.100 90.000
5608.444 4893.320 60.000
5611.759 4923.706 60.000
5615.275 4955.934 60.000
5619.053 4990.556 60.000
5623.086 5027.527 60.000
5590.172 5079.718 60.000
5553.063 5093.451 60.000
5481.661 5115.740 60.000
5447.368 5124.298 60.000
5413.076 5132.855 60.000
5332.464 5123.437 60.000
5264.574 5066.316 60.000
5195.664 5015.291 60.000
5134.037 5067.650 61.641
5098.177 5092.743 61.544
5032.294 5139.993 66.643
4950.786 5128.163 70.000
4654.186 4137.177 90.000
4874.627 5001.906 70.000
4861.065 5070.735 61.077
4852.994 5216.136 64.736
4737.733 5239.674 60.000
4669.852 4139.253 87.466
4499.572 5376.245 63.432
4453.523 5243.698 70.054
4511.385 5150.510 70.016
4539.645 5102.741 70.013
4605.668 4916.149 70.000
4604.536 4878.785 70.000
4603.405 4841.420 70.000
4604.879 4766.029 78.731
4607.485 4728.001 90.008
4683.541 4675.662 90.066
4733.899 4629.426 90.071
4809.266 4562.150 90.000
4876.041 4553.871 90.000
5038.794 4492.823 90.000
5062.063 4485.867 90.000
4685.518 4141.331 86.725
4701.183 4143.407 90.000
4569.044 4394.432 99.992
6990.265 3938.894 70.000
6960.664 3935.129 70.000
6931.063 3931.364 70.000
6901.462 3927.599 70.000
7049.903 4023.001 57.518
7039.891 3996.220 60.001
7029.878 3969.440 62.061
6756.652 4295.282 68.331
6779.980 4276.397 69.998
6803.308 4257.513 69.994
6826.636 4238.628 69.989
6849.964 4219.744 69.987
